item_type,speed,name,price,capacity,cache,form_factor,interface
hdd,7200.0,Seagate BarraCuda Pro,984.07,10000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital Black,303.27,1000.0,32.0,2.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate BarraCuda,151.61,1000.0,64.0,3.5,SATA 3.0 Gb/s
hdd,5400.0,Western Digital Red Plus,476.41,4000.0,128.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Western Digital Blue,502.58,3000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Western Digital Purple,233.94,1000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Toshiba N300,1052.92,8000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate EXOS Enterprise,1239.67,14000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Western Digital Red,1364.9,12000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Hitachi Ultrastar He12,1386.52,12000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,5900.0,Seagate BarraCuda,486.81,4000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital RE4,155.77,1000.0,64.0,3.5,SATA 3.0 Gb/s
hdd,7200.0,Toshiba HDKCC00,216.65,500.0,16.0,2.5,SATA 6.0 Gb/s
hdd,7200.0,Toshiba X300 Pro,1473.18,16000.0,512.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate IronWolf NAS,547.39,2000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital Red Pro,1256.53,12000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Western Digital Red,1860.81,14000.0,,3.5,SATA 6.0 Gb/s
hdd,7200.0,Hitachi Ultrastar He10,752.99,8000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Toshiba MD04ACA600,1715.13,6000.0,128.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate IronWolf Pro,1291.02,12000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital RE,243.64,2000.0,128.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital Black,125.61,500.0,32.0,2.5,SATA 6.0 Gb/s
hdd,7200.0,Toshiba X300 Pro,1191.53,12000.0,512.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate IronWolf NAS,706.24,6000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital Caviar Blue,186.28,250.0,16.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate IronWolf NAS,877.87,6000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Western Digital Blue,359.6,4000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate Exos 7E10 512e/4Kn,606.58,6000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate Exos X18,1658.8,18000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate IronWolf Pro,807.28,4000.0,128.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate EE25.2,311.89,40.0,8.0,2.5,SATA 3.0 Gb/s
hdd,5640.0,Western Digital Red Plus,563.25,6000.0,128.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital Purple Pro,909.89,8000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Toshiba X300 Pro,1624.83,18000.0,512.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Toshiba N300,476.59,4000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,,Seagate ST2000DX001,1021.68,2000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital Caviar Blue,259.94,640.0,16.0,3.5,SATA 3.0 Gb/s
hdd,7200.0,Western Digital Ultrastar DC HC330,1234.86,10000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate Enterprise Capacity,259.94,2000.0,128.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate Exos 7E10 512n,506.92,2000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Toshiba P300,475.42,4000.0,128.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Western Digital Red Plus,346.6,2000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Western Digital Purple Surveillance,634.26,6000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate Exos X18,1148.2,12000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Hitachi Deskstar NAS,2941.59,10000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate Barracuda Compute,541.58,6000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate IronWolf,394.91,1000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate BarraCuda,145.16,500.0,128.0,2.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate Constellation ES.2,1269.57,2000.0,64.0,3.5,SATA 6.0 Gb/s
