item_type,brand,name,price,quantity,size,color,rpm,airflow,noise_level,pwm
fan,NZXT, F120 RGB Core 3-Pack,303.27,43,120,Black,"500,1800",78.86,33.88,true
fan,Cooler Master, SickleFlow,43.29,20,120,Black,"650,1800",62,"8,27",true
fan,Lian Li, UNI FAN P28 3-Pack,207.98,5,120,White,"200,2600","44.94,92","20.4,32.1",true
fan,Corsair, iCUE AR120 Digital RGB,82.24,13,120,White,"400,1850","10.7,59","10,27.3",true
fan,Thermalright, TL-C-C-S,81.85,29,140,White,1500,75.8,26.4,true
fan,be quiet!, Pure Wings 3,42.9,57,120,Black,2100,59.6,30.9,true
fan,Noctua, A12x15 PWM,95.11,59,120,Brown,"450,1850","41.67,55.44","16.8,23.9",true
fan,be quiet!, Silent Wings 4,77.52,19,120,Black,2500,76.7,"32.1,31.2",true
fan,Corsair, iCUE LINK QX140 RGB Starter Kit 2-Pack,606.58,39,140,White,"400,2400","12.1,82.5",,true
fan,Phanteks, D30-120 Reversed,147.24,55,120,Black,"250,2000",61.5,31.8,true
fan,Thermaltake, CT120 ARGB Sync 2-Pack,108.28,12,120,Black,"500,2000",57.05,25.8,true
fan,NZXT, F120 RGB,108.28,15,120,Black,"500,1800","13.94,50.18","17.2,27.5",true
fan,Noctua, A8 PWM,73.44,16,80,Brown,"450,2200","25.84,32.66","13.8,17.7",true
fan,Thermaltake, SWAFAN EX12 ARGB 3-Pack,324.89,24,120,White,"500,2000","56.26,57.11","30.6,32.5",true
fan,be quiet!, Light Wings PWM high-speed 3-Pack,237.88,51,140,Black,2200,71.7,31,true
fan,Corsair, iCUE LINK RX120 3-Pack,359.6,33,120,Black,2100,"10.5,74.2","10,36",false
fan,Phanteks, D30-120 3-Pack,389.93,20,120,White,"250,2000",64.3,30.2,true
fan,ARCTIC, P12 Max,62.79,56,120,White,"200,3300",81.04,,true
fan,Montech, AX120,55.9,19,120,White,"800,1600",59,27,true
fan,Corsair, iCUE LINK RX120 3-Pack,389.93,6,120,White,2100,"10.5,74.2","10,36",false
fan,Lian Li, UNI FAN SL V2 120 5-Pack,563.25,13,120,White,"250,2000",64.5,29.2,true
fan,Corsair, iCUE AF140 RGB ELITE 2-Pack,324.89,37,140,Black,"500,1700","19.5,89","5,33.8",true
fan,Lian Li, UNI FAN TL 120 3-Pack,472.3,53,120,Black,"200,2600",90.1,33,false
fan,NZXT, F120Q,108.24,3,120,White,"500,1200","27.77,64","16.7,22.5",true
fan,Thermalright, TL-M12W-S,45.89,42,120,White,1500,47.6,23.2,true
fan,Asus, TUF Gaming TF120 ARGB,82.24,34,120,Black / White,"250,1900",76,29,true
fan,Lian Li, UNI FAN AL120 V2,77.95,42,120,White,"250,2000",77.3,28.7,true
fan,Fractal Design, Aspect 14 PWM,146.67,2,140,Black,"500,1700","20,78","10,35.5",true
fan,Phanteks, D30-120 Reversed,142.9,34,120,White,"250,2000",61.5,31.8,true
fan,Lian Li, UNI FAN SL V2 120 5-Pack,563.25,19,120,Black,"250,2000",64.5,29.2,true
fan,ID-COOLING, AF-125 3-Pack,108.28,36,120,Black,"500,2000",78.25,29.85,true
fan,Lian Li, UNI FAN TL 120 Reverse Blade 3-Pack,476.59,42,120,White,"200,2300",83.4,34,false
fan,Noctua, S12B redux-1200 PWM,64.78,47,120,Black / Gray,"400,1200",59.1,18.1,true
fan,ARCTIC, P12,36.79,46,120,Black,1800,56.3,,false
fan,ID-COOLING, XF-12025-ARGB-TRIO 3-Pack,108.28,45,120,Black / White,"700,1500",62,"18,26.4",true
fan,Lian Li, UNI SL120 3-Pack,428.88,8,120,Black,"800,1900",58.54,"17,31",true
fan,Noctua, P14s redux-1200 PWM,73.44,58,140,Black / Gray,"350,1200",64.92,19.6,true
fan,Noctua, A20 PWM chromax.black.swap,160.1,5,200,Black / Multicolor,"350,800",86.46,18.1,true
fan,Cooler Master, SickleFlow 120 ARGB 3 In 1 3-Pack,160.28,0,120,White,"650,1800",62,"8,27",true
fan,Lian Li, UNI FAN TL 120 Reverse Blade 3-Pack,476.59,35,120,Black,"200,2300",83.4,34,false
fan,be quiet!, Light Wings PWM 3-Pack,237.88,10,120,Black,1700,41.51,20.6,true
fan,Xigmatek, eXTREME SILENT,19.46,7,80,Black,2200,36,24,false
fan,ARCTIC, P12,41.03,18,120,Black / Transparent,"200,1800",56.3,22.5,true
fan,NZXT, F120 RGB DUO,142.95,14,120,White,"500,1800",48.58,29,true
fan,Thermalright, TL-P12-S,28.55,7,120,Black / White,1500,52.86,22.1,true
fan,Lian Li, UNI FAN AL120 V2,121.28,26,120,Black,"250,2000",77.3,28.7,true
fan,Phanteks, M25-120 PWM D-RGB 3-Pack,129.95,6,120,Black,"500,2000",84.26,35.7,true
fan,Corsair, iCUE QL120 3-Pack,428.92,47,120,White / Black,"525,1500",41.8,26,true
fan,Corsair, iCUE SP140 RGB ELITE 2-Pack,303.22,28,140,Black / White,"405,1200",,,true
fan,Phanteks, PH-F140D30R 3-Pack,389.93,48,140,Black,"250,1800",71.76,32.1,true
fan,Cooler Master, MOBIUS 120P ARGB,90.91,34,120,Black,,75.2,30,true
fan,be quiet!, Silent Wings 4,103.56,32,140,Black,1100,51.3,13.6,true
fan,Phanteks, M25-140 PWM,47.62,59,140,Black,"500,1800",104.62,36.57,true
