item_type,brand,name,price,quantity,rpm,noise_level,color,size
cooler,NZXT, Kraken Z73,1642.21,8,"500,1800","21,36",Black,360.0
cooler,NZXT, Kraken Elite 280 RGB,823.23,33,"500,1500",34.48,White,280.0
cooler,NZXT, Kraken Elite 240 RGB,1025.88,12,"500,1800","17.9,30.6",White,240.0
cooler,Cooler Master, Hyper 212 (2023),129.95,31,"690,2500",32.8,Black,
cooler,Noctua, NH-L9x65 chromax.black,302.88,20,"600,2500","14.8,23.6",Black,
cooler,ID-COOLING, SE-214-XT,77.91,3,"500,1500","13.8,30.5",White,
cooler,MSI, MAG CORELIQUID 360R V2,450.63,37,"500,2000","14.3,34.3",Black,360.0
cooler,Cooler Master, Hyper 212 Black Edition,402.93,37,"800,2000","6.5,26",,
cooler,Cooler Master, MASTERLIQUID ML120L RGB V2,259.94,11,"650,1800","6,27",Black,120.0
cooler,Corsair, iCUE H150i ELITE LCD,1728.87,30,"450,2000","10,30.4",Black,360.0
cooler,Thermalright, Assassin X Refined SE ARGB,83.58,17,1550,25.6,White / Silver,
cooler,Corsair, iCUE LINK H150i RGB,888.22,56,"480,2400",,Black,360.0
cooler,Noctua, NH-L9i chromax.black,238.1,42,"600,2500","14.8,23.6",Black,
cooler,Deepcool, MYSTIQUE,779.9,23,"500,2150",36.49,Black,360.0
cooler,NZXT, T120 RGB,173.28,58,"500,1800","17.2,27.5",White,
cooler,ARCTIC, Liquid Freezer II 420,476.59,14,"200,1700",,Black,420.0
cooler,Deepcool, AK400 ZERO DARK PLUS,194.94,14,"500,1650",28,Black,
cooler,Iceberg, Thermal IceFLOE T95,43.29,30,"1000,2200",32.3,Teal / Silver,
cooler,ID-COOLING, IS-55 Black,173.28,22,"500,2000",31.2,Black,
cooler,NZXT, Kraken 280,628.24,13,"500,1500","19.4,32.1",Black,280.0
cooler,Thermalright, Aqua Elite V3,242.21,33,1500,25.6,White,360.0
cooler,ID-COOLING, FROZN A410 BLACK,129.95,42,"500,2000",29.85,Black,
cooler,Thermalright, Peerless Assassin,142.56,18,1550,25.6,Gray,
cooler,Corsair, iCUE H100i ELITE CAPELLIX XT,779.9,2,"550,2100","5,34.1",White,240.0
cooler,Noctua, NH-U12A,519.74,35,"450,2000","18.8,22.6",Brown,
cooler,Thermalright, Peerless Assassin 120 Black,203.22,47,1550,25.6,Black,
cooler,Corsair, iCUE H170i ELITE CAPELLIX,1438.47,13,2000,"10,37",Black,420.0
cooler,Lian Li, Galahad II Trinity Performance,693.24,45,"2300,3000","32.1,39.9",Black,360.0
cooler,Thermalright, AXP90-X47,155.55,8,2700,22.4,Orange / Brown,
cooler,NZXT, Kraken 120,346.55,27,"500,2000","21,36",Black,120.0
cooler,Thermalright, Aqua Elite V3,216.22,14,1500,25.6,Black,240.0
cooler,Corsair, iCUE H150i ELITE CAPELLIX,1243.35,41,2400,"10,37",Black,360.0
cooler,Cooler Master, MasterLiquid 240L Core ARGB,346.6,25,"350,1750",27.2,Black,240.0
cooler,Asus, ROG Ryujin III,1486.05,18,"600,2200",36.45,White,360.0
cooler,Scythe, Fuma 3,216.61,50,"200,1500","4,28.6",Black / Silver,
cooler,ID-COOLING, FROSTFLOW X,238.27,52,"700,1800","18,35.2",,240.0
cooler,NZXT, Kraken Z73 RGB,1603.17,22,"500,1500","22,33",White / Black,360.0
cooler,Thermalright, Frozen Edge,190.22,39,2150,28.1,Black,240.0
cooler,ARCTIC, Liquid Freezer III A-RGB,458.86,30,"200,2000",,Black,240.0
cooler,Deepcool, LE720,697.57,10,"500,2250",32.9,Black,360.0
cooler,Cooler Master, Hyper 212 EVO,347.77,36,"600,2000","9,36",,
cooler,Corsair, iCUE H170i ELITE LCD XT,1299.86,15,"500,1700","5,33.8",Black,420.0
cooler,Corsair, iCUE H60x RGB ELITE,346.6,12,1500,"7,28",Black,120.0
cooler,Deepcool, GAMMAXX AG400 ARGB,129.95,9,"500,2000",31.6,White,
cooler,EK, EK-Nucleus AIO CR360 Lux D-RGB,727.73,53,"550,2300",36,Black,360.0
cooler,NZXT, Kraken X53,920.46,44,"500,2000","21,36",Black,240.0
cooler,Noctua, NH-L9i-17xx,194.77,35,"600,2500","14.8,23.6",Brown / Beige,
cooler,Deepcool, AK620 DIGITAL WH,350.89,5,"500,1850",28,White,
cooler,MSI, MAG CORELIQUID 240R V2,378.83,26,"500,2000","14.3,34.3",Black,240.0
cooler,Thermalright, Assassin X 120 PLUS V2,94.42,10,1500,25.6,Black / Silver,
cooler,be quiet!, Pure Rock 2 FX,207.55,14,,"7.9,24.4",Black,
cooler,be quiet!, Pure Loop 2 FX,562.86,53,,"8,34",Black,360.0
cooler,HYTE, THICC Q60,1299.86,1,,"10,47.3",White / Black,280.0
cooler,Thermalright, Aqua Elite V3,246.55,38,1500,25.6,Black,360.0
cooler,Deepcool, AG400,95.28,1,"500,2000",31.6,Black / Silver,
cooler,ARCTIC, Liquid Freezer III A-RGB,649.91,24,"200,1900",,Black,420.0
cooler,Thermalright, Frozen Prism ARGB,262.54,54,1850,27,Black,360.0
cooler,Vetroo, V5,121.28,26,"800,1700",30.8,Black,
cooler,Noctua, NH-U12S redux,238.1,3,"450,1700",25.1,Gray / Silver,
cooler,Deepcool, LS520 SE WH,337.89,32,"500,2250","28.2,32.9",White,240.0
cooler,Cooler Master, Hyper 212 Halo,149.06,22,"650,2050",27,Black,
cooler,NZXT, Kraken Elite 280,736.57,42,"500,1500","19.4,32.1",Black,280.0
cooler,Thermaltake, UX100,51.95,39,1800,26.92,Black,
cooler,Noctua, NH-L9i,194.77,32,"600,2500","14.8,23.6",Brown,
cooler,Asus, ProArt LC 420,1169.87,33,"800,2000",31.5,Black,420.0
cooler,Cooler Master, MasterLiquid 360L Core ARGB,389.93,58,"350,1750",27.2,White,360.0
cooler,Deepcool, LS720S ZERO DARK,433.26,19,"500,2250","28.2,32.9",Black,360.0
cooler,Asus, TUF Gaming LC II ARGB,476.59,18,"800,2000",29,Black,360.0
cooler,ARCTIC, Liquid Freezer III A-RGB,506.92,43,"200,2000",,White,240.0
cooler,Thermalright, Aqua Elite V3,194.94,48,1500,25.6,White,240.0
cooler,Thermalright, AXP90-X47,99.23,52,2700,22.4,White,
cooler,Thermalright, AXP90-X47,90.56,10,2700,22.4,Gray,
cooler,Thermalright, Assassin Spirit 120 EVO DARK,89.22,8,1850,27,Black,
cooler,Thermalright, Peerless Assassin 120 White,194.55,17,1550,25.6,White,
cooler,Cooler Master, MasterLiquid 240L Core ARGB,346.6,37,"350,1750",27.2,White,240.0
cooler,Noctua, NH-U9S,259.76,6,"400,2000","16.3,22.8",,
cooler,Thermalright, Assassin X 90 SE ARGB,77.52,57,2200,23.85,Black / Silver,
cooler,EK, Nucleus AIO CR240 Dark,523.73,13,"550,2300",36,Black,240.0
cooler,Deepcool, ASSASSIN IV,368.26,15,"500,1700","22.6,29.3",White,
cooler,NZXT, Kraken Z63,996.55,59,"500,1800","21,38",Black,280.0
cooler,Deepcool, LE520,394.78,25,"500,2250",32.9,Black,240.0
cooler,Noctua, NH-L9x65,259.76,40,"600,2500","14.8,23.6",,
cooler,Deepcool, Assassin 4S,346.6,48,"500,1800",29.3,Black,
cooler,ID-COOLING, SE-903-XT,64.95,8,"500,2200",25.8,Black,
cooler,Thermalright, Frozen Prism,246.55,30,1850,27,Black,360.0
cooler,be quiet!, Pure Rock 2,151.22,42,1500,"19.1,26.8",Silver / Black,
cooler,NZXT, Kraken Elite 280 RGB,823.23,1,"500,1500",34.48,Black,280.0
cooler,Deepcool, LT520 WH,346.16,49,"500,2250",32.9,White,240.0
cooler,Cooler Master, Hyper 212 Halo,125.61,28,"650,2050",27,White,
cooler,ARCTIC, Freezer 34 eSports DUO,209.28,21,"200,2100",24.4,White / Black,
cooler,Noctua, NH-L9a-AM4 chromax.black,238.1,32,"600,2500","14.8,23.6",Black,
cooler,ARCTIC, Freezer 36 A-RGB,168.94,58,"200,2000",,Black,
cooler,Lian Li, Galahad II Trinity,649.91,49,2450,35.4,Black,360.0
cooler,ID-COOLING, IS-47-XT,129.95,26,"800,2800",32.5,Black,
cooler,Cooler Master, MasterLiquid ML360L ARGB V2,433.26,24,"650,1800","8,27",Black,360.0
cooler,ID-COOLING, FROZN A620 BLACK,194.94,6,"500,2000",29.85,Black,
cooler,ARCTIC, Liquid Freezer II 360 A-RGB,887.83,50,"200,1800",22.5,Black / Gray,360.0
cooler,NZXT, Kraken Elite 240 RGB,979.21,27,"500,1800","17.9,30.6",Black,240.0
