item_type,brand,name,price,quantity,socket,form_factor,max_memory,memory_slots,color
mobo,Asus, ROG Crosshair VIII Dark Hero,2513.1,21,AM4,ATX,128,4,Black / Silver
mobo,Asus, PRIME Z390-A,1230.57,2,LGA1151,ATX,128,4,Silver / Black
mobo,ASRock, Z790 Pro RS,736.57,55,LGA1700,ATX,192,4,Silver / Black
mobo,MSI, PRO B760-VC WIFI IV,693.24,36,LGA1700,ATX,256,4,Black / Silver
mobo,MSI, PRO Z790-VC WIFI,693.24,30,LGA1700,ATX,192,4,Black
mobo,Asus, PRIME A520M-A II/CSM,346.6,6,AM4,Micro ATX,128,4,Silver / Black
mobo,MSI, MPG B650 CARBON WIFI,1986.55,7,AM5,ATX,192,4,Black
mobo,ASRock, B450M/AC,356.95,38,AM4,Micro ATX,64,4,Black
mobo,ASRock, A520M-ITX/ac,516.36,14,AM4,Mini ITX,64,2,Black / Silver
mobo,MSI, Z790 GAMING PRO WIFI,823.23,58,LGA1700,ATX,192,4,Black
mobo,Gigabyte, B650 UD AC,736.57,37,AM5,ATX,192,4,Black / Gray
mobo,Asus, PRIME B760M-A WIFI D4,816.94,40,LGA1700,Micro ATX,128,4,Silver / Black
mobo,Gigabyte, Z390 AORUS PRO WIFI,1291.23,17,LGA1151,ATX,128,4,Black / Silver
mobo,ASRock, B550 Pro4,518.53,23,AM4,ATX,128,4,Silver / Black
mobo,Gigabyte, H610I,519.92,24,LGA1700,Mini ITX,64,2,Black
mobo,MSI, MAG B660 TOMAHAWK WIFI DDR4,1020.38,45,LGA1700,ATX,128,4,Black / Silver
mobo,MSI, MPG Z790 EDGE WIFI,1264.98,38,LGA1700,ATX,192,4,Silver / Black
mobo,Asus, PRIME H610I-PLUS D4-CSM,489.59,52,LGA1700,Mini ITX,64,2,Silver / Black
mobo,ASRock, B760M Steel Legend WiFi,693.24,21,LGA1700,Micro ATX,192,4,Silver / Black
mobo,Asus, PRIME B660-PLUS D4,645.7,9,LGA1700,ATX,128,4,Silver / Black
mobo,MSI, MAG B550M MORTAR MAX WIFI,649.91,22,AM4,Micro ATX,128,4,Silver / Black
mobo,Asus, ROG STRIX X570-E GAMING WIFI II,1988.85,17,AM4,ATX,128,4,Black
mobo,Asus, TUF GAMING B550-PLUS,680.28,16,AM4,ATX,128,4,Black
mobo,ASRock, B650E PG-ITX WIFI,1256.53,20,AM5,Mini ITX,96,2,Black / Red
mobo,Asus, TUF GAMING B650-PLUS,1128.92,52,AM5,ATX,128,4,Black / Orange
mobo,Asus, PRIME X670-P,957.68,32,AM5,ATX,192,4,Silver / Black
mobo,MSI, PRO B550M-P GEN3,448.9,22,AM4,Micro ATX,128,4,Black
mobo,ASRock, B760M PG Riptide,563.25,56,LGA1700,Micro ATX,192,4,Black / Blue
mobo,Gigabyte, B760M AORUS ELITE AX,758.23,6,LGA1700,Micro ATX,192,4,Black / Silver
mobo,Asus, PRIME H510M-K,559.22,20,LGA1200,Micro ATX,64,2,Black / Silver
mobo,ASRock, Z690 PG Riptide,541.58,55,LGA1700,ATX,128,4,Black / Silver
mobo,MSI, Z490-A PRO,1425.56,13,LGA1200,ATX,128,4,Black / Silver
mobo,MSI, PRO B760M-A WIFI,736.57,11,LGA1700,Micro ATX,192,4,Black
mobo,Asus, PRIME H610M-K D4,465.32,59,LGA1700,Micro ATX,64,2,Silver / Black
mobo,Gigabyte, B450M DS3H V2,445.61,53,AM4,Micro ATX,128,4,Black
mobo,MSI, MEG Z690 ACE,970.55,20,LGA1700,EATX,192,4,Black / Gold
mobo,ASRock, B450 Steel Legend,433.26,18,AM4,ATX,64,4,Black / Silver
mobo,Supermicro, X10SLL-F,736.57,18,LGA1150,Micro ATX,32,4,Black / Green
mobo,ASRock, B560M-HDV,563.25,47,LGA1200,Micro ATX,64,2,Silver / Black
mobo,Asus, ROG STRIX Z590-E GAMING WIFI,1514.95,44,LGA1200,ATX,128,4,Black
mobo,MSI, MPG Z790 CARBON WIFI,1904.61,51,LGA1700,ATX,192,4,Black
mobo,Gigabyte, B760M C,606.58,17,LGA1700,Micro ATX,192,4,Brown / Gray
mobo,ASRock, A520M-HVS,351.97,8,AM4,Micro ATX,64,2,Black / Silver
