item_type,name,price,capacity,cache,form_factor,interface
SSD,Leven JPS600,441.92,2000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Samsung 980,320.56,500.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Kingston A400,268.6,960.0,,2.5,SATA 6.0 Gb/s
SSD,TEAMGROUP MS30,147.28,512.0,,M.2-2280,M.2 SATA
SSD,Lexar NM790,1126.54,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 860 Evo,649.91,1000.0,1024.0,2.5,SATA 6.0 Gb/s
SSD,Samsung 970 Evo Plus,265.44,250.0,512.0,M.2-2280,M.2 PCIe 3.0 X4
SSD,Crucial MX500,229.65,500.0,512.0,2.5,SATA 6.0 Gb/s
SSD,TEAMGROUP T-Force Vulcan Z,420.26,2000.0,,2.5,SATA 6.0 Gb/s
SSD,Silicon Power UD90,311.89,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Silicon Power UD90,931.55,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial P3,1043.17,4000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Corsair MP600 CORE XT,606.58,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP MP44,537.25,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Solidigm P41 Plus,303.27,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial T705 W/Heatsink,2383.11,4000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,MSI SPATIUM M450,324.93,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Corsair MP600 CORE XT,337.89,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Silicon Power UD85,498.25,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial T705,1213.2,2000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,Crucial P5 Plus,601.2,1000.0,1024.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,ADATA XPG GAMMIX S70 Blade,433.26,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Kingston Fury Renegade,433.26,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Solidigm P41 Plus,511.25,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Patriot Burst Elite,60.62,120.0,,2.5,SATA 6.0 Gb/s
SSD,Samsung 990 Pro w/Heatsink,519.92,1000.0,1024.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP MP44,1013.88,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Lexar NM620,542.36,2000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Crucial BX500,308.25,1000.0,,2.5,SATA 6.0 Gb/s
SSD,ADATA XPG GAMMIX S70 Blade,649.91,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Corsair MP600 CORE XT,1126.54,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Intel DC P3600,6499.5,1200.0,,PCIe,PCIe x4
SSD,Western Digital Blue,528.63,1000.0,,2.5,SATA 6.0 Gb/s
SSD,SK Hynix Platinum P41,411.59,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Black SN750,333.55,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Samsung 860 Evo,476.59,500.0,512.0,2.5,SATA 6.0 Gb/s
SSD,TEAMGROUP MS30,242.6,1000.0,,M.2-2280,M.2 SATA
SSD,Samsung 970 Evo,705.85,1000.0,1024.0,M.2-2280,M.2 PCIe 3.0 X4
SSD,Corsair MP600,693.24,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Kingston NV2,1083.25,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP MP34,979.21,4000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Sabrent Rocket 4.0,433.26,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial T705,714.9,1000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,KingSpec XG7000,554.58,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Klevv CRAS C910,281.56,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Acer Predator GM7000,1191.53,4000.0,4096.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP T-Force Vulcan Z,121.28,480.0,,2.5,SATA 6.0 Gb/s
SSD,Crucial T700 W/Heatsink,1936.81,4000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,Samsung 870 Evo,134.24,250.0,512.0,2.5,SATA 6.0 Gb/s
SSD,Western Digital Black SN850X w/Heatsink,753.9,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial MX500,1185.03,4000.0,,2.5,SATA 6.0 Gb/s
SSD,Crucial P5 Plus,398.42,500.0,1024.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial BX500,541.58,2000.0,,2.5,SATA 6.0 Gb/s
SSD,MSI SPATIUM M480 PRO,905.73,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Lexar NM710,688.9,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Solidigm P44 Pro,736.57,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Solidigm P44 Pro,381.26,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,PNY CS2241,909.89,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Patriot P210,233.94,1000.0,,2.5,SATA 6.0 Gb/s
SSD,Corsair MP700 PRO,1299.86,2000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,ADATA Legend 800,331.08,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Sabrent Rocket 4 Plus,953.22,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,FanXiang S500 Pro,281.56,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Samsung 970 Evo,505.01,500.0,512.0,M.2-2280,M.2 PCIe 3.0 X4
SSD,Silicon Power P34A60,173.28,512.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,ADATA XPG SX8200 Pro,407.91,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Corsair MP700 PRO,2469.77,4000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,ADATA Legend 800,472.25,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP T-Force Vulcan Z,95.28,240.0,,2.5,SATA 6.0 Gb/s
SSD,Klevv CRAS C710,259.94,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,TEAMGROUP MP33,112.61,256.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Leven JPS800,454.92,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Blue SN550,576.29,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Mushkin Vortex Redline,337.89,1000.0,1024.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 870 QVO,719.49,2000.0,,2.5,SATA 6.0 Gb/s
SSD,Gigabyte AORUS Gen4 7300,533.18,1000.0,1024.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Corsair MP700,649.91,1000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,Seagate 1200 SSD,13811.44,800.0,,2.5,SAS 12.0 Gb/s
SSD,Acer Predator GM7000,238.27,512.0,512.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,ADATA XPG GAMMIX S7,259.94,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Western Digital Blue,350.89,500.0,,2.5,SATA 6.0 Gb/s
SSD,Seagate BarraCuda Q5,277.27,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Samsung 980,194.94,250.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Western Digital Blue SN580,255.13,500.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Kingston KC3000,307.56,512.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 870 QVO,1473.18,4000.0,,2.5,SATA 6.0 Gb/s
