item_type,brand,name,price,type,efficiency,wattage,modular,color
psu,SeaSonic, FOCUS GX,411.59,ATX,gold,850,Full,Black
psu,Corsair, RM850x SHIFT,628.24,ATX,gold,850,Full / Side,Black
psu,ADATA, XPG Core Reactor II,454.92,ATX,gold,850,Full,White
psu,be quiet!, Straight Power 12,692.85,ATX,platinum,850,Full,Black
psu,SeaSonic, FOCUS Plus Gold,563.25,ATX,gold,1000,Full,Black
psu,be quiet!, Dark Power Pro 13,1602.78,ATX,titanium,1300,Full,Black
psu,SeaSonic, FOCUS Gold,303.27,ATX,gold,550,Semi,
psu,Deepcool, PM850D,368.26,ATX,gold,850,false,Black
psu,SeaSonic, FOCUS Plus Platinum,584.91,ATX,platinum,850,Full,
psu,Asus, ROG THOR P2 Gaming,1429.85,ATX,platinum,1000,Full,Silver / Black
psu,Corsair, RM1000x SHIFT,810.23,ATX,gold,1000,Full / Side,Black
psu,SeaSonic, VERTEX GX-1200,833.28,ATX,gold,1200,Full,Black / Silver
psu,Thermaltake, Toughpower GF3 TT Premium,441.97,ATX,gold,850,Full,Black
psu,Apevia, Premier,259.94,ATX,gold,650,Semi,Black
psu,Cooler Master, V SFX Platinum,933.89,SFX,platinum,1100,Full,Black
psu,G.Skill, MB750G,359.6,ATX,gold,750,Full,Black
psu,ADATA, XPG CORE Reactor 650,368.05,ATX,gold,650,Full,Black
psu,EVGA, SuperNOVA 750 P5,736.57,ATX,platinum,750,Full,Black / Teal
psu,Corsair, RM750x SHIFT,389.93,ATX,gold,750,Full / Side,Black
psu,EVGA, SuperNOVA 1000G XC,541.58,ATX,gold,1000,Full,Black
psu,EVGA, 700 BR,311.89,ATX,bronze,700,false,
psu,Cooler Master, MWE Bronze V2,3116.73,ATX,bronze,650,false,Black
psu,CoolMax, I-500,115.6,ATX,,500,false,
psu,EVGA, 850 B5,433.26,ATX,bronze,850,Full,Black
psu,Lian Li, SP850,614.72,SFX,gold,850,Full,Black
psu,Thermaltake, Smart BM3,389.93,ATX,bronze,750,Semi,Black
psu,Athena, Power AP-MTFX30,160.28,TFX,,300,false,
psu,be quiet!, Pure Power 12 M,636.52,ATX,gold,1200,Full,Black
psu,Deepcool, PQ1000M,563.25,ATX,gold,1000,Full,Black
psu,EVGA, SuperNOVA 850 GM,671.57,SFX,gold,850,Full,Black
