item_type,brand,name,price,quantity,core_count,core_clock,boost_clock,tdp,graphics,smt
cpu,Intel, Core i7-10700,1017.39,37,8,2.9,4.8,65,Intel UHD Graphics 630,true
cpu,AMD, Ryzen 5 1600 (12nm),519.96,13,6,3.2,3.6,65,,true
cpu,Intel, Core i7-3770,411.64,53,4,3.4,,77,Intel HD Graphics 4000,true
cpu,Intel, Core i3-10105F,345.69,40,4,3.7,4.4,65,,true
cpu,Intel, Core i5-8600K,602.29,11,6,3.6,4.3,95,Intel UHD Graphics 630,false
cpu,Intel, Xeon E5-2699 V4,823.27,47,22,2.2,3.6,145,,true
cpu,Intel, Core i9-14900,2404.77,3,24,2.0,5.8,65,Intel UHD Graphics 770,true
cpu,AMD, Ryzen 3 2200G,563.29,58,4,3.5,3.7,65,Radeon Vega 8,false
cpu,Intel, Core i9-10900KF,1104.92,36,10,3.7,5.3,125,,true
cpu,Intel, Core i5-7500,385.64,38,4,3.4,3.8,65,Intel HD Graphics 630,false
cpu,Intel, Core i9-9900KF,1265.24,40,8,3.6,5.0,95,,true
cpu,AMD, Ryzen 9 3950X,9303.08,25,16,3.5,4.7,105,,true
cpu,AMD, Athlon 200GE,303.22,26,2,3.2,,35,Radeon Vega 3,true
cpu,Intel, Core i7-9700,1084.38,55,8,3.0,4.7,65,Intel HD Graphics 630,false
cpu,Intel, Core i5-7400,391.49,13,4,3.0,3.5,65,Intel HD Graphics 630,false
cpu,Intel, Core i7-4790,628.72,9,4,3.6,4.0,84,Intel HD Graphics 4600,true
cpu,AMD, Ryzen 5 2400G,584.96,48,4,3.6,3.9,65,Radeon Vega 11,true
cpu,Intel, Core i5-3470,255.65,4,4,3.2,,77,Intel HD Graphics 2500,false
cpu,Intel, Core i9-14900F,2292.11,40,24,2.0,5.8,65,,true
cpu,Intel, Core i7-4770K,584.96,58,4,3.5,3.9,84,Intel HD Graphics 4600,true
cpu,AMD, Ryzen 7 1700,844.94,31,8,3.0,3.7,65,,true
cpu,Intel, Celeron G6900,324.07,4,2,3.4,,46,Intel UHD Graphics 710,false
cpu,Intel, Celeron G5900,175.18,38,2,3.4,,58,Intel UHD Graphics 610,false
cpu,Intel, Core i7-10700KF,1039.92,23,8,3.8,5.1,125,,true
cpu,Intel, Core i7-9700F,1252.24,56,8,3.0,4.7,65,,false
cpu,Intel, Core i3-9100F,585.78,15,4,3.6,4.2,65,,false
cpu,Intel, Core i7-11700,1080.82,46,8,2.5,4.9,65,Intel UHD Graphics 750,true
cpu,Intel, Core i7-3770K,758.28,35,4,3.5,,77,Intel HD Graphics 4000,true
cpu,Intel, Core i3-8100,476.63,56,4,3.6,,65,Intel UHD Graphics 630,false
cpu,AMD, Ryzen 5 1600X,519.92,1,6,3.6,4.0,95,,true
cpu,Intel, Xeon E5-2680 V4,8557.67,34,14,2.4,3.3,120,,true
cpu,Intel, Core i7-11700KF,1058.42,26,8,3.6,5.0,125,,true
cpu,AMD, FX-8350,901.26,2,8,4.0,,125,,false
cpu,Intel, Core i5-4690,222.85,9,4,3.5,3.9,84,Intel HD Graphics 4600,false
cpu,Intel, Core i5-7600K,732.36,24,4,3.8,4.2,91,Intel HD Graphics 630,false
cpu,Intel, Core i5-8500,749.26,25,6,3.0,4.1,65,Intel UHD Graphics 630,false
cpu,Intel, Core i9-9900KS,8618.34,59,8,4.0,5.0,127,Intel UHD Graphics 630,true
cpu,Intel, Core i9-13900,2123.17,11,24,2.0,5.6,65,Intel UHD Graphics 770,true
cpu,Intel, Core i3-13100,641.24,56,4,3.4,4.5,60,Intel UHD Graphics 730,true
cpu,Intel, Core i3-4130,178.22,18,2,3.4,,54,Intel HD Graphics 4400,true
cpu,Intel, Core i5-4460,297.07,52,4,3.2,3.4,84,Intel HD Graphics 4600,false
cpu,AMD, A6-6400K,324.98,25,2,3.9,,65,Radeon HD 8470D,false
cpu,AMD, Ryzen 7 1700X,974.92,3,8,3.4,3.8,95,,true
cpu,AMD, Ryzen 5 1400,476.63,33,4,3.2,3.4,65,,true
cpu,Intel, Core i5-11600KF,714.47,3,6,3.9,4.9,125,,true
cpu,AMD, Ryzen 3 1200 (14nm),454.96,14,4,3.1,3.4,65,,false
cpu,Intel, Core i7-9700KF,944.59,27,8,3.6,4.9,95,,false
cpu,AMD, Ryzen 3 3300X,649.95,59,4,3.8,4.3,65,,true
cpu,Intel, Core i5-9400,697.22,44,6,2.9,4.1,65,Intel UHD Graphics 630,false
cpu,AMD, Ryzen 7 3800XT,1516.51,59,8,3.9,4.7,105,,true
cpu,Intel, Core i9-10980XE,5199.6,10,18,3.0,4.8,165,,true
cpu,AMD, Ryzen 9 3900XT,1642.21,32,12,3.8,4.7,105,,true
cpu,AMD, Threadripper 1900X,476.59,42,8,3.8,4.0,180,,true
cpu,Intel, Core i5-4570,452.97,24,4,3.2,,84,Intel HD Graphics 4600,false
cpu,Intel, Core i3-7350K,173.32,17,2,4.2,,60,Intel HD Graphics 630,true
cpu,Intel, Core i3-10105,389.75,27,4,3.7,4.4,65,Intel UHD Graphics 630,true
cpu,Intel, Core i5-9600KF,780.46,14,6,3.7,4.6,95,,false
cpu,Intel, Core i9-10900F,1126.54,34,10,2.8,5.2,65,,true
cpu,Intel, Core i9-13900F,2383.11,33,24,2.0,5.6,65,,true
cpu,AMD, Ryzen 7 1800X,1018.26,37,8,3.6,4.0,95,,true
cpu,AMD, Ryzen 5 1500X,844.94,41,4,3.5,3.7,65,,true
cpu,AMD, Threadripper 2990WX,10832.5,1,32,3.0,4.2,250,,true
cpu,Intel, Core i7-2600,816.73,46,4,3.4,,95,Intel HD Graphics 2000,true
cpu,Intel, Core i5-4670K,268.65,22,4,3.4,,84,Intel HD Graphics 4600,false
cpu,Intel, Core i3-7100,303.31,36,2,3.9,,51,Intel HD Graphics 630,true
cpu,Intel, Core i7-4790K,801.6,57,4,4.0,4.4,88,Intel HD Graphics 4600,true
cpu,Intel, 300,381.74,32,2,3.9,,46,Intel UHD Graphics 710,true
cpu,Intel, Xeon E5-2630,105.21,53,6,2.3,,95,,true
cpu,Intel, Core i9-11900F,909.93,4,8,2.5,5.2,65,,true
cpu,Intel, Core i7-8700K,1180.74,24,6,3.7,4.7,95,Intel UHD Graphics 630,true
cpu,Intel, Core i7-2600K,368.3,50,4,3.4,,95,Intel HD Graphics 3000,true
cpu,Intel, Core i5-3570K,504.75,33,4,3.4,,77,Intel HD Graphics 4000,false
cpu,Intel, Xeon E5-2683 V4,8661.45,0,16,2.1,3.0,120,,true
cpu,Intel, Core i5-7600,385.64,37,4,3.5,4.1,65,Intel HD Graphics 630,false
cpu,Intel, Core i3-6100,433.3,17,2,3.7,,51,Intel HD Graphics 530,true
cpu,Intel, Core i5-10500,1035.54,4,6,3.1,4.5,65,Intel UHD Graphics 630,true
cpu,AMD, Threadripper 1920X,1169.91,17,12,3.5,4.0,180,,true
cpu,AMD, Athlon II X2 240,127.74,54,2,2.8,,65,,false
cpu,Intel, Core i7-6800K,446.3,28,6,3.4,3.6,140,,true
cpu,Intel, Celeron G4900,210.54,23,2,3.1,,65,Intel UHD Graphics 610,false
cpu,Intel, Core i7-6900K,519.96,55,8,3.2,3.7,140,,true
