name,price,rpm,noise_level,color,size
RAIJINTEK LETO PRO RGB,129.95,"800,1800",25,Black / Silver,
Enermax LIQMAXFLO SR 120,346.55,"500,1800",23.46,Black,120.0
Silverstone IceMyst 240,476.59,"500,2200","12.1,33.1",Silver / Black,240.0
Iceberg Thermal IceSLEET G4 OC,108.28,"600,1400",22.5,Black / Teal,
Enermax AQUAFUSION ADV 120,221.59,"500,2000","15,32.6",Black,120.0
Alphacool Eisbaer Pro Aurora,904.34,,31.5,Black,280.0
Thermaltake TOUGHAIR 510,259.94,"500,1200",23.6,Teal,
Dynatron T318,207.68,,0,,
ADATA XPG LEVANTE 240,476.59,"600,2000",34,Black,240.0
Alphacool Eisbaer LT360,649.56,"550,1700",29,Black,360.0
Thermaltake TOUGHLIQUID ARGB,541.54,"500,2000",22.3,Teal,240.0
Lian Li Galahad AIO240 (2022),840.78,"800,1900",32,White / Silver,240.0
Azza CUBE 360,433.26,"500,2000",34,Black,360.0
Silverstone VIDA 120 SLIM,479.71,"300,1800","15.9,33.9",Black,120.0
GAMDIAS CHIONE P2,454.88,"800,1800",,Black,360.0
ARCTIC Freezer 50,279.22,"200,1800",,Black,
Enermax Liqfusion 240,355.26,"500,2000","14,28",Black,240.0
Iceberg Thermal IceSLEET G4 Midnight Limited Edition,112.61,"600,1400",22.5,Black,
Xigmatek GAIA SD1283,129.99,"800,1500","16,24",,
GAMDIAS CHIONE M3,368.26,"800,2000",,White,240.0
Silverstone NT07-115X,129.95,"1500,3600","21.9,34.7",Silver / Black,
Alpenföhn Glacier Water High Speed 360,1206.65,"500,2200",36.8,White,360.0
RAIJINTEK LETO RGB,122.28,"800,1800",25,Black / Silver,
Corsair H110i GTX,922.11,2000,40,,280.0
Alphacool Eisbaer Aurora 280,784.97,"600,1500",,Black,280.0
ARCTIC Freezer 11 LP,164.22,"900,2000",,,
Zalman CNPS9500 AT,129.95,"1300,2650","18,27.5",,
ARCTIC Alpine AM4 CO,108.28,"100,2700",,Black,
Thermaltake CLP0556-B,86.57,"1900,2300",22,,
Thermaltake TOUGHAIR 710,343.13,"300,1400","18.5,23.9",Gray,
Corsair H110,1075.8,1500,35,,280.0
Alpenföhn Glacier Water High Speed 240,831.11,"500,2200",36.8,White,240.0
Silverstone AR06,190.61,2500,"20,28.3",,
Thermaltake Floe Riing RGB 240 TT Premium Edition,496.13,"500,1400","19.8,24.7",,240.0
Iceberg Thermal IceSLEET X6,138.61,"500,1850","0,36",Teal / Silver,
Thermaltake Riing Silent 12 RGB Sync Edition,281.73,"300,1500","13,22",Black,
Thermaltake Riing Silent 12 Red,167.64,"300,1400","13,18",,
Cooler Master DK9-7G52A-0L-GP,138.57,4500,35,,
Thermaltake Floe Riing RGB 360 TR4 Edition,695.06,"1000,2000","21.8,33",Black,360.0
Alphacool Eisbaer Pro Aurora,835.19,,31.5,Black,240.0
Alphacool Eisbaer 280,641.07,1100,29.4,Black / Blue,280.0
Geometric Future Eskimo Junior 24,346.21,2000,29,Black,240.0
Cooler Master MasterAir MA620P,483.13,"600,1800",31,Black / Silver,
ENDORFY Navis F280 ARGB,714.56,"250,1800",,Black,280.0
Silverstone AR08,173.28,"1500,2800","14.1,27.7",Blue / Silver,
Thermaltake CL-P0187,249.1,4800,36,,
Cougar Helor 240,537.29,"600,1800",37.1,Black,240.0
GAMDIAS BOREAS M1,160.28,"800,2600","10,32",Black / Silver,
SilenX EFZ-92HA2,92.08,2400,"8,24",,
Alphacool Eisbaer 240,637.9,"550,1700",29,Black,240.0
In Win SR24 PRO,281.56,"500,2500",23,Black,240.0
Scythe KOTETSU Mark II TUF,297.33,"300,1200","4,24.9",Black / Yellow,
Silverstone IceGem 240P,805.24,"600,2200","7.3,36.6",Black,240.0
Silverstone IceGem 360,1133.64,"600,2200","7.3,36.6",Black,360.0
Scythe Kotetsu Mark II,384.77,"300,1200","4,24.9",,
Thermaltake Floe DX RGB 280 TT Premium Edition,635.22,"500,1400","19.8,26.2",Black / Gray,280.0
Thermaltake Floe DX RGB TT Premium Edition B,500.89,"500,1500","19,23.9",Black,240.0
Thermaltake TOUGHLIQUID Ultra RGB,996.55,"500,2000",30.7,Black,280.0
Silverstone NT07-AM2,92.81,"1500,2500","15,25",,
Zalman CNPS16X,129.95,"800,1500",27,White,
Cooler Master Hyper 212 Plus,342.31,"600,2000","13,32",,
Silverstone AR05,181.94,2500,"20,28.3",,
Thermaltake TOUGHLIQUID ARGB,619.62,"500,2000",33.2,Black,280.0
Gelid Solutions Glacier,129.95,"500,1600",35,White,
TEAMGROUP SIREN GD240E,459.25,"600,2200","14.3,35.6",Black,240.0
EVGA ACX mITX,159.19,"800,2800",33.4,,
Zalman CNPS17X,151.61,"800,1500",29,Black / Silver,
Silverstone IceGem 280,655.93,"600,1600","9.8,23.4",Black,280.0
Rosewill RCX-ZAIO-92,129.95,"600,2500","14.5,25",,
Dynatron R8,173.1,,,,
RAIJINTEK MYA RBW,129.95,"200,1400",28.43,Black,
RAIJINTEK DELOS RBW,173.28,"650,2000",22.95,Black,
Enermax Liqtech TR4 II 240,731.28,"500,2300","14,28",Black,240.0
RAIJINTEK EOS 240 RBW,259.94,"800,1800",28,Black,240.0
RAIJINTEK THEMIS BLACK,117.86,"1000,1500",24.53,Black / Silver,
Enermax ETS-T40F-W,604.84,2200,27,,
Thermalright Macho Direct,202.44,"300,1300","15,21",,
Dynatron A49,220.03,"800,1800","10.8,21.3",Silver,
Rosewill RCX-Z90-AL,86.66,"600,3000","15,30",,
RAIJINTEK Orcus 360 RGW,346.6,"400,1800",28,Black,360.0
Cooler Master CHD-00008-01-GP,108.28,2200,22,,
Dynatron Q12,173.1,,"16,35.98",,
GameMax Gamma 500 ARGB,239.09,"1000,1800",26.3,Black / Silver,
Zalman CNPS20X,129.95,"800,1500",29,Black / Silver,
Cougar FORZA 85 ESSENTIAL,310.98,"600,2000",34.5,Black,
In Win Nebula NR36,581.92,"400,1800",25,Black / White,360.0
Enermax ETS-T40-TB,337.06,"800,1800","10,21",,
Dynatron R14,186.1,"1500,7000","16,47.5",,
Silverstone NT07-115X,117.25,"1200,3400","18,26",,
Cooler Master DK9-7E52A-0L-GP,186.28,3200,25.17,,
Silverstone Argon AR10-115XS,177.61,"500,4000","18.07,39.03",,
Thermalright SilverArrow T8,349.89,"600,1800","19,25",Silver / Red,
Dynatron K5,125.44,"1000,2500","14.7,29.8",,
ARCTIC Freezer i32,290.31,,,,
Silverstone HE01-V2,437.59,"500,2000","18,41",Silver / Black,
RAIJINTEK Orcus 280 RGW,324.93,"400,1800",28,Black,280.0
FSP Group Windale 4,86.62,"600,1600",32,Black / Silver,
Thermaltake CLP0552,108.28,"800,1700",22,,
Antec KUHLER H2O 950,281.64,,,,120.0
Silverstone NT06-PRO-V2,332.25,"1000,2200",,Silver / Black,
In Win SR36 PRO,670.01,"500,2500",23,Black,360.0
Dynatron R13,205.86,"1100,6000","19.1,53.8",,
Dynatron R15,190.44,,,,
In Win SR24,545.31,"500,2500",23,Black,240.0
SilenX EFZ-92HA3,157.63,2000,"8,24",,
SilenX EFZ-100HA2,99.44,2400,"8,24",,
Thermaltake CLP0587,324.89,"1200,1800",39,,
RAIJINTEK PALLAS Red,174.19,"650,1400",28,,
Silverstone AR11,220.94,"1200,3000","19.3,44.5",Black / Silver,
Evercool HPM-12025,190.65,"800,2500","15,35",,
SilenX EFZ-80HA3,142.64,2200,"8,24",,
Enermax AQUAFUSION ADV,281.6,"500,2000","17,32.6",White,120.0
Cooler Master RR-LEE-L911-GP,145.16,2200,17,,
Dynatron R9,181.77,"1000,4500","13.14,45.9",,
Titan TTC-NC85TZ(RB),211.84,"210,2100",28.8,,
RAIJINTEK THEMIS Evo,208.76,"1000,1500",24.53,,
In Win BR24,476.63,"400,1800",35.5,Black / White,240.0
RAIJINTEK Orcus 240 RGW,303.27,"400,1800",28,Black,240.0
Iceberg Thermal IceSLEET G4 OC,129.95,"600,1400",22.5,Teal / Silver,
Silverstone Argon AR10-115XP,216.61,"500,4000","18.07,39.03",,
Gelid Solutions Rev. 2 Tranquillo,194.81,"750,1500","12,25.5",,
Thermaltake Frio Silent 14,194.47,"700,1200","12,19.3",,
Reeven Justice,282.51,"300,1500","4,29.8",,
In Win BR36,558.52,"400,1800",35.5,Black / White,360.0
Silverstone Argon AR09-115XP,155.94,"1200,5000","18.02,42.5",,
Evercool EC-NK804A-925EP,84.41,2750,28.2,,
ARCTIC Freezer 33 CO,233.98,,22.5,,
Thermaltake A4021,207.94,2200,18,,
Thermaltake CL-P0401,303.22,"1300,2000","16,24",,
Dynatron K17,181.77,"1000,2500","17,31.92",,
Dynatron R27,188.62,"1000,3800","16,43.4",,
Silverstone NT08-115X,164.61,"1200,3500","21.56,62.88",,
Dynatron K199,160.1,"1000,5000","20.71,51.7",,
GAMDIAS CHIONE M1,717.07,"600,1200",,Black,280.0
Masscool 8W501B1M3G,129.99,2400,26.2,,
Silverstone Argon AR09-115XS,210.76,"1200,5000","18.02,42.5",,
Evercool HPH-9525CU,112.61,1800,20,,
