name,price,rpm,noise_level,color,size
Lian Li Galahad II LCD,996.55,"300,2450",30,White,360.0
Cooler Master MasterLiquid ML240L ARGB V2,433.26,"650,1800","8,27",White,240.0
Asus TUF GAMING LC 240 ARGB,376.93,"800,2000",29,Black,240.0
Thermaltake TH360 V2 ARGB Sync,563.25,"500,2000",25.8,White,360.0
MSI MAG CORELIQUID P360,728.68,"500,2000","14.3,34.3",Black,360.0
ID-COOLING IS-67-XT,151.61,"500,2200",35.2,Black,
Thermaltake Contact 9 SE,69.28,"800,2000",24.5,Black / Silver,
Asus ROG STRIX LC II 280 ARGB,389.93,"700,2100",35.7,Black,280.0
EK AIO Basic 240,466.32,"550,2200",33.5,Black,240.0
Thermalright AXP90-X53,103.56,2700,22.4,Gray,
Deepcool Assassin 4S,346.6,"500,1800",29.3,White,
ID-COOLING PINKFLOW,433.26,"900,2000","16.3,33.5",White / Pink,240.0
ID-COOLING DASHFLOW BASIC,346.55,"700,1800","15.2,35.2",White,360.0
Deepcool LD360,519.92,"600,2400",38.71,Black,360.0
Corsair iCUE LINK H100i RGB,693.24,"480,2400",,White,240.0
MSI MAG CORELIQUID 240R V2,407.3,"500,2000","14.3,34.3",White,240.0
be quiet! Pure Loop 2,454.53,,"17.2,36.8",Black,360.0
NZXT Kraken M22,346.6,"500,2000","21,36",Black,120.0
Enermax Liqmax III 360 ARGB,389.93,"500,1600","14,27",Black,360.0
Thermalright Silver Soul 135,151.22,1850,29.6,Black,
Alpenföhn BLACK RIDGE,396.12,"800,2800","14,37.6",Black,
Deepcool AG620,173.28,"300,1850",29.4,Black / Silver,
Deepcool AK500,216.61,"500,1850",,Black / Silver,
Thermalright Assassin King 120 MINI V2,86.18,1500,25.6,Black / Silver,
Thermalright Frost Commander 140,172.41,1800,30.2,White,
ID-COOLING SE-225-XT,151.61,"700,1800","15.2,35.2",Black,
Thermaltake TH240 V2 ARGB Sync,368.26,"500,2000",25.8,Black,240.0
NZXT Kraken X73 RGB,1213.2,"500,1500","22,33",White / Black,360.0
Asus ROG RYUJIN II ARGB,1471.92,,,Black,240.0
Deepcool AK500 DIGITAL WH,281.6,"500,1850",28,White,
Cooler Master Hyper 622 Halo,281.56,"650,2050",27,Black,
Phanteks Glacier One 360MPH,1429.89,"500,2200","18,34.2",White,360.0
ARCTIC Freezer 36 CO,155.94,"200,1800",,Black / Silver,
Thermalright AXP120-X67,190.22,1800,26.1,Gray,
Gigabyte AORUS WATERFORCE 360,736.57,"950,2150","16.9,31",Black,360.0
NZXT Kraken X53 RGB,1083.25,"500,1500","22,33",Black,240.0
ID-COOLING IS-55 ARGB,173.28,"500,2000",31.2,Black,
Cooler Master I30,57.63,2600,28,Black / Silver,
Corsair H100x,1299.86,1700,37,Black,240.0
Gigabyte AORUS WATERFORCE X II 360,1213.2,"800,2400","12,37.5",Black,360.0
Thermalright Burst Assassin,94.89,1550,25.6,Gray / Black,
Asus ROG STRIX LC II,563.25,"800,2500",37.6,Black,360.0
Corsair iCUE LINK H100i LCD,866.56,"480,2400",,Black,240.0
ID-COOLING DASHFLOW 240 BASIC,259.94,"700,1800","15.2,35.2",White,240.0
ARCTIC Freezer 7 X CO,116.95,"300,2000",,Black / Silver,
Corsair iCUE LINK H170i RGB,866.56,"400,2000",,Black,420.0
Inter-Tech ALSEYE W90,129.95,3000,36.7,White / Black,
GAMDIAS BOREAS E1,129.95,"800,2000","10,31",Black / Silver,
Thermaltake TH360 V2 Ultra ARGB Sync,693.24,"500,1800",25.8,Black,360.0
Scythe Mugen 6 Dual Fan,238.27,"300,2000","3,26.88",Black,
Thermalright Assassin X 120 V2,78.82,1500,25.6,Black / Silver,
