name,price,capacity,price_per_gb,type,cache,form_factor,interface
Kingston A400,163.74,480.0,0.079,SSD,,2.5,SATA 6.0 Gb/s
Kingston NV2,138.61,250.0,0.128,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,749.57,2000.0,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,255.6,1000.0,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M480 PRO,363.97,1000.0,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,77.91,128.0,0.14,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX500,693.24,2000.0,0.08,SSD,2048.0,2.5,SATA 6.0 Gb/s
Leven JPS800,259.94,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro w/Heatsink,519.92,1000.0,0.12,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 PRO XT,4202.97,8000.0,0.121,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,302.96,500.0,0.14,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,134.28,512.0,0.061,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,441.58,4000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Leven JPS600,441.92,2000.0,0.051,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980,320.56,500.0,0.148,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,268.6,960.0,0.065,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP MS30,147.28,512.0,0.066,SSD,,M.2-2280,M.2 SATA
Lexar NM790,1126.54,4000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 860 Evo,649.91,1000.0,0.15,SSD,1024.0,2.5,SATA 6.0 Gb/s
Seagate Exos X14,862.22,12000.0,0.017,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,265.44,250.0,0.245,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
