name,price,socket,form_factor,max_memory,memory_slots,color
MSI X670E GAMING PLUS WIFI,996.55,AM5,ATX,192,4,Silver / Black
ASRock B650M-H/M.2+,433.26,AM5,Micro ATX,96,2,Silver / Black
Asus ROG STRIX Z690-I GAMING WIFI,823.23,LGA1700,Mini ITX,96,2,Black / Silver
Gigabyte B450M K,346.64,AM4,Micro ATX,64,2,Brown / Silver
Gigabyte Z790 AORUS PRO X,1516.51,LGA1700,ATX,192,4,Silver
MSI MAG B550 TOMAHAWK,606.58,AM4,ATX,128,4,Black / Silver
MSI MEG Z790 GODLIKE MAX,5186.56,LGA1700,EATX,192,4,Black
Gigabyte B650 AORUS ELITE AX V2,813.69,AM5,ATX,192,4,Black / Silver
ASRock A520M-HDV,290.22,AM4,Micro ATX,64,2,Black / Silver
MSI B450 Gaming Plus MAX,324.89,AM4,ATX,128,4,Red / Black
ASRock B550M-ITX/ac,563.25,AM4,Mini ITX,64,2,Silver / Black
ASRock B650 Steel Legend WiFi,779.9,AM5,ATX,192,4,White / Silver
Gigabyte A620I AX,606.58,AM5,Mini ITX,96,2,Black / Gray
Asus ROG STRIX Z690-E GAMING WIFI,1000.88,LGA1700,ATX,192,4,Black
Asus PRIME X670-P WIFI,909.89,AM5,ATX,192,4,Silver / Black
MSI PRO B760M-P DDR4,433.26,LGA1700,Micro ATX,128,4,Black
Asus ROG CROSSHAIR X670E HERO,2773.08,AM5,ATX,192,4,Black / Silver
Asus ROG STRIX Z790-E GAMING WIFI,1559.84,LGA1700,ATX,192,4,Black
MSI MAG B760 TOMAHAWK WIFI,779.9,LGA1700,ATX,192,4,Black
Gigabyte H410M H V2,315.92,LGA1200,Micro ATX,64,2,Gray / Black
Asus TUF GAMING Z790-PLUS WIFI,996.55,LGA1700,ATX,192,4,Black / Gray
ASRock X670E Steel Legend,1126.54,AM5,ATX,192,4,Black / White
Gigabyte B550I AORUS PRO AX,823.23,AM4,Mini ITX,64,2,Black / Silver
Gigabyte B650M D3HP AX,584.91,AM5,Micro ATX,192,4,Black / Gray
Gigabyte B760M DS3H AX,606.58,LGA1700,Micro ATX,192,4,Black
Gigabyte B550M DS3H AC,472.25,AM4,Micro ATX,128,4,Black
Gigabyte Z790 AORUS ELITE X WIFI7,1213.2,LGA1700,ATX,192,4,Black
Asus PRIME Z790-P WIFI,823.23,LGA1700,ATX,192,4,Black / Silver
NZXT N7 B650E,1083.21,AM5,ATX,128,4,Black
Asus ProArt X670E-CREATOR WIFI,1841.48,AM5,ATX,192,4,Black / Copper
Gigabyte X670 AORUS ELITE AX (rev. 1.0),1169.87,AM5,ATX,192,4,Black
ASRock A620M Pro RS WiFi,770.62,AM5,Micro ATX,192,4,Silver / Black
ASRock B450M PRO4 R2.0,347.29,AM4,Micro ATX,128,4,Gray / Black
MSI PRO H610M-G WIFI DDR4,428.97,LGA1700,Micro ATX,64,2,Black / Silver
ASRock H610M-HVS,303.22,LGA1700,Micro ATX,64,2,Gray / Black
MSI MPG Z790 EDGE TI MAX WIFI,1299.86,LGA1700,ATX,192,4,Silver / Black
ASRock B650E PG RIPTIDE WIFI,823.23,AM5,ATX,192,4,Black / Blue
ASRock Z690 Extreme,563.25,LGA1700,ATX,128,4,Black / Silver
Gigabyte Z790 EAGLE AX,797.01,LGA1700,ATX,192,4,Gray / Black
Gigabyte B650E AORUS ELITE X AX ICE,1083.21,AM5,ATX,192,4,Silver / White
Gigabyte B550M DS3H,385.64,AM4,Micro ATX,128,4,Black / Gold
Asus ROG STRIX B650E-E GAMING WIFI,1434.83,AM5,ATX,192,4,Black
Gigabyte B760 GAMING X AX,736.57,LGA1700,ATX,192,4,Black / Gray
Gigabyte A520M K V2,338.15,AM4,Micro ATX,64,2,Brown / Black
Asus ROG STRIX B550-F GAMING,688.9,AM4,ATX,128,4,Black
ASRock B550 Phantom Gaming 4/ac,389.93,AM4,ATX,128,4,Silver / Black
MSI PRO B760M-A WIFI DDR4,649.91,LGA1700,Micro ATX,128,4,Black
Asus TUF GAMING B760M-PLUS WIFI II,844.89,LGA1700,Micro ATX,192,4,Black / Orange
Gigabyte B760I AORUS PRO,866.56,LGA1700,Mini ITX,96,2,Silver / Black
ASRock B650M PG RIPTIDE WIFI,736.57,AM5,Micro ATX,192,4,Black
Asus TUF GAMING B650M-PLUS WIFI,823.23,AM5,Micro ATX,192,4,Black
Asus ROG STRIX X670E-F GAMING WIFI,1516.51,AM5,ATX,192,4,Black / Silver
Asus ProArt Z790-CREATOR WIFI,1906.48,LGA1700,ATX,192,4,Black / Copper
Asus PRIME B650-PLUS,714.9,AM5,ATX,192,4,Black / Silver
MSI A520M-A PRO,303.27,AM4,Micro ATX,64,2,Black
NZXT N7 Z790,1286.86,LGA1700,ATX,192,4,Black
ASRock B550M-HDV,324.89,AM4,Micro ATX,64,2,Black
ASRock B550M PG RIPTIDE,446.21,AM4,Micro ATX,128,4,
Asus ROG STRIX X670E-I GAMING WIFI,1841.48,AM5,Mini ITX,96,2,Black / Silver
Asus ROG STRIX B760-A GAMING WIFI,909.89,LGA1700,ATX,192,4,Silver / Black
Gigabyte X670 GAMING X AX V2,909.89,AM5,ATX,192,4,Black / Gray
Gigabyte A520M DS3H V2,386.5,AM4,Micro ATX,128,4,Gray / Brown
Asus ROG STRIX Z790-H GAMING WIFI,1083.21,LGA1700,ATX,192,4,Black
MSI Z790 GAMING PLUS WIFI,866.56,LGA1700,ATX,192,4,Black
ASRock Z690 Pro RS,519.92,LGA1700,ATX,128,4,Silver / Black
Asus ROG STRIX Z790-F GAMING WIFI II,1776.49,LGA1700,ATX,192,4,Black
MSI MEG X670E GODLIKE,5576.61,AM5,EATX,192,4,Black
Gigabyte TRX40 AORUS PRO WIFI,2296.45,sTRX4,ATX,256,8,Black / Orange
Asus TUF GAMING B550M-PLUS WIFI II,876.74,AM4,Micro ATX,128,4,Black / Gray
MSI PRO Z790-S WIFI,736.57,LGA1700,ATX,192,4,Black
Asus ROG STRIX X670E-A GAMING WIFI,1451.51,AM5,ATX,192,4,Silver / Black
ASRock H370M-HDV,324.76,LGA1151,Micro ATX,64,2,Black / Silver
ASRock B550 Phantom Gaming-ITX/ax,693.24,AM4,Mini ITX,64,2,Silver / Black
Asus PRIME B660M-A WIFI D4,742.11,LGA1700,Micro ATX,128,4,Silver / Black
MSI MAG B760M MORTAR WIFI II,779.9,LGA1700,Micro ATX,192,4,Silver / Black
Asus ROG STRIX Z790-A GAMING WIFI D4,953.22,LGA1700,ATX,128,4,Black / Silver
MSI MAG B650M MORTAR WIFI,866.38,AM5,Micro ATX,192,4,Black
MSI MPG Z790I EDGE WIFI,1290.5,LGA1700,Mini ITX,96,2,Silver / Black
MSI PRO B550-VC,606.58,AM4,ATX,128,4,Black
Gigabyte Z790 AORUS ELITE AX ICE,1126.54,LGA1700,ATX,192,4,Silver / White
Asus PRIME B550-PLUS,476.59,AM4,ATX,128,4,Black / White
ASRock B760M Pro RS/D4 WiFi,645.57,LGA1700,Micro ATX,128,4,Silver / Black
ASRock X670E PG Lightning,1034.55,AM5,ATX,192,4,Black
Gigabyte A520M S2H,348.72,AM4,Micro ATX,64,2,Black
ASRock B550 Phantom Gaming 4,389.93,AM4,ATX,128,4,Silver / Black
MSI MAG Z790 TOMAHAWK MAX WIFI,1169.87,LGA1700,ATX,192,4,Black / Yellow
MSI PRO-H610M-E-DDR4,394.78,LGA1700,Micro ATX,64,2,Black
Gigabyte H510M K V2,367.14,LGA1200,Micro ATX,64,2,Black / Gray
Asus PRIME Z790-A WIFI,1078.92,LGA1700,ATX,192,4,Black / Silver
Asus PRIME A320M-K,298.89,AM4,Micro ATX,32,2,Black / White
MSI MPG X670E CARBON WIFI,1776.49,AM5,ATX,192,4,Black
Intel DQ45EK,1196.3,LGA775,Mini ITX,4,2,Green / Blue
Asus ROG MAXIMUS Z790 HERO,2296.45,LGA1700,ATX,192,4,Black
ASRock B450M Steel Legend,389.93,AM4,Micro ATX,64,4,Black / White
Gigabyte Z790 AORUS ELITE X AX,996.55,LGA1700,ATX,192,4,Black
MSI MPG B650 EDGE WIFI,987.88,AM5,ATX,192,4,Black / Silver
Asus PRIME X670E-PRO WIFI,1298.86,AM5,ATX,192,4,Silver / Black
ASRock B650 LiveMixer,602.24,AM5,ATX,192,4,Orange / Black
MSI PRO Z790-P WIFI DDR4,871.76,LGA1700,ATX,128,4,Black / Silver
Asus PRIME B650M-A WIFI II,981.68,AM5,Micro ATX,192,4,Black / Silver
Asus PRIME B550-PLUS AC-HES,476.59,AM4,ATX,128,4,Silver / Black
MSI PRO Z790-A WIFI,953.22,LGA1700,ATX,192,4,Black / Silver
Asus PRIME H510M-A WIFI,476.59,LGA1200,Micro ATX,64,2,Black / Silver
ASRock B760M PG SONIC WiFi,823.23,LGA1700,Micro ATX,192,4,Blue / Silver
Asus TUF GAMING A620M-PLUS WIFI,645.57,AM5,Micro ATX,192,4,Black / Orange
ASRock B650 PRO RS,1058.16,AM5,ATX,192,4,Black / Silver
Gigabyte H610M S2H V2 DDR4,389.93,LGA1700,Micro ATX,64,2,Black / Gray
Asus ROG STRIX Z790-I GAMING WIFI,1906.48,LGA1700,Mini ITX,96,2,Black
MSI MAG B760 TOMAHAWK WIFI DDR4,779.9,LGA1700,ATX,128,4,Black
ASRock Fatal1ty B450 Gaming-ITX/ac,636.34,AM4,Mini ITX,64,2,Black / Silver
Asus ROG STRIX Z790-F GAMING WIFI,1169.87,LGA1700,ATX,192,4,Black
ASRock Z790 Lightning WiFi,693.24,LGA1700,ATX,192,4,Silver / Black
Gigabyte X670E AORUS XTREME (rev. 1.0),2816.41,AM5,EATX,192,4,Black
ASRock B550M Steel Legend,502.54,AM4,Micro ATX,128,4,Silver / Black
Asus PRIME Z790-V WIFI,953.22,LGA1700,ATX,192,4,Black / Silver
Gigabyte Z790M AORUS ELITE AX ICE,888.22,LGA1700,Micro ATX,192,4,White / Silver
MSI B450M-A PRO MAX,399.55,AM4,Micro ATX,32,2,Black
Gigabyte Z790 UD AC,823.23,LGA1700,ATX,192,4,Black
Asus ROG MAXIMUS Z790 APEX ENCORE,3767.41,LGA1700,ATX,96,2,Black
ASRock B650 PG LIGHTNING,649.91,AM5,ATX,192,4,Black
ASRock X670E Taichi,1776.49,AM5,EATX,192,4,Black
Gigabyte B760 AORUS ELITE AX,736.57,LGA1700,ATX,192,4,Black
Gigabyte B450M DS3H,541.37,AM4,Micro ATX,128,4,Black / Silver
Gigabyte B550M AORUS ELITE,573.13,AM4,Micro ATX,128,4,Black / Orange
Gigabyte X670E AORUS MASTER (rev. 1.0),1697.28,AM5,EATX,192,4,Black / Silver
ASRock B650E Taichi Lite,1126.54,AM5,EATX,192,4,Black / Gray
ASRock Z790 Riptide WiFi,866.56,LGA1700,ATX,192,4,Black
Asus TUF GAMING B760-PLUS WIFI,779.9,LGA1700,ATX,192,4,Black
Gigabyte Z790 GAMING X AX,866.56,LGA1700,ATX,192,4,Black
Gigabyte B650M GAMING X AX,930.99,AM5,Micro ATX,192,4,Black
ASRock B760M-HDV/M.2 D4,389.93,LGA1700,Micro ATX,64,2,Silver / Black
Asus PRIME Z390-P,866.34,LGA1151,ATX,128,4,Silver / Black
MSI MPG Z790 CARBON WIFI II,1733.16,LGA1700,ATX,192,4,Black
Gigabyte A620M S2H,389.93,AM5,Micro ATX,96,2,Gray / Black
ASRock B660M-HDV,411.59,LGA1700,Micro ATX,64,2,Gray / Black
MSI MPG B760I EDGE WIFI,895.24,LGA1700,Mini ITX,96,2,Black / Silver
