name,price,socket,form_factor,max_memory,memory_slots,color
MSI MEG Z490 ACE,1728.87,LGA1200,ATX,128,4,Black / Gold
ASRock X299 WSI/IPMI,1603.17,LGA2066,Mini ITX,64,4,Black / Silver
Asus PRO H610M-CT D4-CSM,428.92,LGA1700,Micro ATX,64,2,Green / Black
Gigabyte Z370 AORUS GAMING WIFI (rev. 1.0),1631.33,LGA1151,ATX,64,4,Black / Red
Gigabyte B660 AORUS Master,1740.09,LGA1700,ATX,192,4,Black
Gigabyte Z490 AORUS MASTER,1737.1,LGA1200,ATX,128,4,Black / Silver
Gigabyte B760 AORUS MASTER DDR4,1206.83,LGA1700,ATX,128,4,Black
MSI MEG Z590 GODLIKE,3379.7,LGA1200,EATX,128,4,Black / Silver
MSI Z270 SLI,1083.21,LGA1151,ATX,64,4,Black / Silver
Gigabyte Q670M D3H,779.9,LGA1700,Micro ATX,128,4,Brown / Gray
Asus PRIME H410M-A/CSM,563.25,LGA1200,Micro ATX,64,2,Black
Gigabyte H510M S2H,758.28,LGA1200,Micro ATX,64,2,Brown / Gray
Supermicro MBD-X11SSV-Q-O,1360.61,LGA1151,Mini ITX,32,2,Green
Supermicro MBD-X11SCV-Q-O,1481.89,LGA1151,Mini ITX,64,2,Green / Black
ASRock X370 Killer SLI,953.22,AM4,ATX,64,4,Black / White
Gigabyte X299 DESIGNARE EX,3332.08,LGA2066,ATX,128,8,Black / Silver
Gigabyte Z490 AORUS PRO AX,1949.81,LGA1200,ATX,128,4,Black / Silver
Supermicro C9X299-PG300F,3033.06,LGA2066,ATX,256,8,Black
MSI PRO-B660M-B-DDR4,1169.91,LGA1700,Micro ATX,64,2,Black / Silver
ASRock Fatal1ty Z170 Gaming K4,1516.51,LGA1151,ATX,64,4,Black / Red
Supermicro MBD-X11SSL-F-O,1419.4,LGA1151,Micro ATX,64,4,Black / Green
Supermicro X9SRA,2583.81,LGA2011,ATX,64,8,Black / Green
Gigabyte Z490 AORUS ULTRA,1871.81,LGA1200,ATX,128,4,Black / Silver
Asus ROG Maximus XIII Apex,2816.41,LGA1200,ATX,64,2,Black
Gigabyte GA-X58A-UD7,2231.5,LGA1366,ATX,24,6,Blue / White
Asus Pro A620M-C-CSM,671.14,AM5,Micro ATX,96,2,Green / Black
Asus Crosshair IV Extreme,2209.61,AM3,EATX,16,4,Black / Red
Biostar A620MT,559.52,AM5,Micro ATX,96,2,Black
Gigabyte Z490 GAMING X AX,1373.56,LGA1200,ATX,128,4,Brown / Black
Intel D525MW,660.83,Integrated Atom D525,Mini ITX,4,2,Green / Black
ASRock Fatal1ty Z370 Gaming K6,1871.81,LGA1151,ATX,64,4,Black / Silver
Asus WS X299 PRO/SE,2232.88,LGA2066,SSI CEB,128,8,Black / Silver
ASRock C246M WS,1399.6,LGA1151,Micro ATX,64,4,Green / Blue
Supermicro C9Z390-CGW,2891.8,LGA1151,ATX,128,4,Black / Silver
Supermicro X10SLM-F-O,1499.17,LGA1150,Micro ATX,32,4,Black / Green
Gigabyte Z490 AORUS XTREME,3188.65,LGA1200,EATX,128,4,Black / Silver
Supermicro C7Z87-OCE,2236.22,LGA1150,ATX,32,4,Black / Blue
Asus WS X299 PRO,3228.6,LGA2066,ATX,128,8,Black / Silver
Supermicro MBD-X11SAE-F-O,2145.48,LGA1151,ATX,64,4,Black / Green
Supermicro A1SRI-2758F-O,2118.84,Integrated Atom C2358,Mini ITX,64,4,Black / Green
Gigabyte Z590 AORUS TACHYON,2145.48,LGA1200,EATX,64,2,Black
Supermicro MBD-X11SSH-LN4F,1710.06,LGA1151,Micro ATX,64,4,Green / Black
ASRock X470 Master SLI,2527.57,AM4,ATX,64,4,Black
ASRock Z270 Killer SLI,1446.27,LGA1151,ATX,64,4,Black / White
Supermicro X9SRH-7TF,3444.69,LGA2011,ATX,64,8,Green / Blue
Supermicro C9Z390-CG-IW,2558.64,LGA1151,Mini ITX,64,2,Black
Supermicro C7Z170-OCE,2323.53,LGA1151,ATX,64,4,Black / Green
EVGA Z590 DARK,3462.07,LGA1200,EATX,64,2,Black
Supermicro MBD-X11SBA-LN4F-O,1395.44,Integrated Pentium N3700,Mini ITX,8,2,Green
