name,price,type,efficiency,wattage,modular,color
Corsair RM650x (2018),792.9,ATX,gold,650,Full,Black / Silver
Thermaltake Toughpower GF3 TT Premium,706.24,ATX,gold,1000,Full,Black
Asus ROG LOKI,901.22,SFX,platinum,850,Full,Black / Silver
be quiet! System Power 10,806.46,ATX,bronze,550,false,Black
be quiet! Straight Power 12,1082.82,ATX,platinum,1500,Full,Black
EVGA SuperNOVA 750 GM,649.91,SFX,gold,750,Full,Black
Raidmax XT,134.28,ATX,,400,false,
EVGA SuperNOVA 650 G+,466.53,ATX,gold,650,Full,Black
EVGA 750 BP,311.93,ATX,bronze,750,false,Black
Silverstone SFX,483.87,SFX,gold,500,Full,
Thermaltake Smart BX1 650,259.94,ATX,bronze,650,false,Black
SeaSonic FOCUS PX,584.91,ATX,platinum,850,Full,Black
EVGA SuperNOVA 1300 GT,818.89,ATX,gold,1300,Full,Black
Asus ROG Strix,584.91,ATX,gold,750,Full,Black / Red
Corsair HX1200i,1386.52,ATX,platinum,1200,Full,Black
Asus ROG LOKI,758.23,SFX,platinum,750,Full,Black / Silver
Asus ROG Strix Aura Edition,888.22,ATX,gold,1000,Full,Black
be quiet! System Power 10,1310.6,ATX,gold,850,false,Black
Asus ROG-STRIX-850G,675.69,ATX,gold,850,Full,Black
Montech TITAN GOLD 1200W,607.66,ATX,gold,1200,Full,Black
Corsair CX650 (2017),545.96,ATX,bronze,650,false,
Apevia Signature,298.89,ATX,bronze,1050,Semi,Black
Super Flower Leadex Platinum SE,606.58,ATX,platinum,1000,Full,Black
EVGA 700 BQ,324.89,ATX,bronze,700,Semi,Black
Super Flower Leadex Platinum SE,693.24,ATX,platinum,1200,Full,Black
Phanteks Revolt SFX,866.56,SFX,platinum,850,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,606.58,ATX,gold,1050,Full,Black
EVGA 750 GQ,428.97,ATX,gold,750,Semi,
EVGA SuperNOVA 650 P5,411.59,ATX,platinum,650,Full,Black / Teal
MSI MPG A1000G,1297.26,ATX,gold,1000,Full,Black
EVGA SuperNOVA 1000 G+,1481.84,ATX,gold,1000,Full,Black
MSI MPG A850GF,835.84,ATX,gold,850,Full,Black
Cooler Master MWE Gold V2 ATX3.0,606.49,ATX,gold,1050,Full,Black
Super Flower Leadex III Gold,433.26,ATX,gold,850,Full,Black
EVGA SuperNOVA 850 G5,627.72,ATX,gold,850,Full,Black / Green
Thermaltake Toughpower GF A3 - TT Premium Edition,784.49,ATX,gold,1200,Full,Black
Super Flower Leadex Titanium,823.23,ATX,titanium,1000,Full,Black
Corsair AX1200i,2546.63,ATX,platinum,1200,Full,
be quiet! Pure Power 11 600,622.13,ATX,gold,600,false,Black
EVGA 450 BR,476.59,ATX,bronze,450,false,
Corsair CX750 (2017),411.59,ATX,bronze,750,false,
Thermaltake Smart BM3,346.55,ATX,bronze,650,Semi,Black
Corsair HX1000 Platinum,1602.99,ATX,platinum,1000,Full,
Silverstone SFX,328.61,SFX,bronze,300,false,Black
Corsair RM650 (2019),953.22,ATX,gold,650,Full,Black
Asus Prime AP-850G,563.25,ATX,gold,850,Full,White / Black
Corsair RM850,779.77,ATX,gold,850,Full,Black
CoolMax ZX-500,173.28,ATX,plus,500,false,
Silverstone FX500-G,606.58,Flex ATX,gold,500,false,Black
EVGA SuperNOVA 1000 P3,823.23,ATX,platinum,1000,Full,Black / Silver
SeaSonic FOCUS,441.92,ATX,gold,850,Semi,Black
Azza PSAZ-650W,262.8,ATX,bronze,650,false,Black
Corsair SF600,931.55,SFX,gold,600,Full,
Corsair RM850x SHIFT,736.57,ATX,gold,850,Full / Side,White
Thermaltake Toughpower GF1 (2024),408.04,ATX,gold,750,Full,Black
Apevia Galaxy,346.55,ATX,gold,1000,Semi,Black
Corsair CX550M,771.27,ATX,bronze,550,Semi,
Silverstone SX1000-LPT,1000.06,SFX,platinum,1000,Full,Black
Silverstone FX600 Platinum,777.86,Flex ATX,,600,false,Black
EVGA SuperNOVA 1200 P3,909.89,ATX,platinum,1200,Full,Black / Silver
Asus ROG Strix Aura Edition,1018.21,ATX,gold,1200,Full,Black
Thermaltake Smart RGB 230V,645.62,ATX,plus,500,false,Black
MSI MAG A1000GL PCIE5,775.61,ATX,gold,1000,Full,Black
EVGA SuperNOVA 650 GA,522.95,ATX,gold,650,Full,Black
Thermaltake Toughpower SFX,693.24,SFX,gold,750,Full,Black
Asus ROG THOR 850P,1516.51,ATX,platinum,850,Full,Black / Red
GameMax GX Pro Rampage,476.59,ATX,gold,850,Full,White
EVGA 500 GD,476.59,ATX,gold,500,false,Black
Corsair RM850x White,1208.91,ATX,gold,850,Full,White / Black
EVGA 600 BQ,629.5,ATX,bronze,600,Semi,
EVGA 650 BQ,558.91,ATX,bronze,650,Semi,
Corsair RM750,745.23,ATX,gold,750,Full,Black
EVGA 650 N1,249.23,ATX,,650,false,
Deepcool DQ750-M-V2L,433.26,ATX,gold,750,Full,Black / Green
Deepcool PX850G WH,674.78,ATX,gold,850,Full,White
Corsair CX650M,623.43,ATX,bronze,650,Semi,
GameMax RGB Rainbow,476.59,ATX,gold,850,Full,Black
ADATA XPG Core Reactor II,563.25,ATX,gold,1000,Full,Black
SeaSonic VERTEX PX-1000,1097.12,ATX,platinum,1000,Full,Black / Silver
PowerSpec PS 650GSM,333.55,ATX,gold,650,Semi,Black
Thermaltake Toughpower GF3 TT Premium,823.23,ATX,gold,1350,Full,Black
GameMax GX Pro Rampage,693.24,ATX,platinum,1050,Full,White
Silverstone HELA 1200R,1018.69,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 1000 G5,742.94,ATX,gold,1000,Full,Black / Green
Cooler Master MWE Gold V2 ATX3.0,693.24,ATX,gold,1250,Full,Black
be quiet! Straight Power 12,606.19,ATX,platinum,750,Full,Black
Aerocool LUX RGB 750M (230V EU),435.12,ATX,bronze,750,Semi,Black
be quiet! Straight Power 11 750W,1126.58,ATX,gold,750,Full,
Fractal Design Ion Gold,555.88,ATX,gold,550,Full,Black
Super Flower Leadex Titanium,1299.86,ATX,titanium,1600,Full,Black
EVGA SuperNOVA 650 G3,747.4,ATX,gold,650,Full,
Corsair HX1500i (2022),1590.21,ATX,platinum,1500,Full,Black
Thermaltake TR2 S,410.86,ATX,plus,700,false,Black
Deepcool PX1200G,649.91,ATX,gold,1200,Full,Black
EVGA SuperNOVA 650 G5,454.92,ATX,gold,650,Full,Black / Green
Asus TUF Gaming B,199.27,ATX,bronze,550,false,Black
Asus ROG THOR P2 Gaming EVA Edition,2217.76,ATX,platinum,1000,Full,Black / Silver
EVGA 750 BQ,649.43,ATX,bronze,750,Semi,
GameMax RGB Rainbow,433.26,ATX,gold,750,Full,Black
Corsair AX1500i,2812.12,ATX,titanium,1500,Full,
be quiet! System Power 9 CM,688.08,ATX,bronze,400,Semi,Black
Thermaltake Toughpower GF3 TT Premium,678.07,ATX,gold,1200,Full,Black
Corsair CX650F,866.56,ATX,bronze,650,Full,Black
Corsair RM750x White (2018),953.26,ATX,gold,750,Full,White / Black
Corsair RM750x,714.6,ATX,gold,750,Full,
GAMDIAS KRATOS M1 B,303.22,ATX,bronze,750,false,Black
Montech TITAN GOLD 1000W,607.66,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF1 PE,628.2,ATX,gold,850,Full,Black
Logisys PS480D2,73.57,ATX,,480,false,
Enermax Revolution D.F. X,563.25,ATX,gold,1050,Full,Black
Silverstone SST-TX300,324.89,TFX,bronze,300,false,Black
Super Flower LEADEX VII XG,779.9,ATX,gold,1000,Full,Black
Corsair SF450,1148.24,SFX,platinum,450,Full,Black
Silverstone DA750 Gold,582.49,ATX,gold,750,Full,Black / White
Sparkle FSP350-60GNV,303.27,SFX,,350,false,
ADATA XPG FUSION 1600,2720.04,ATX,titanium,1600,Full,Black / Silver
Silverstone FX350-G,424.59,Flex ATX,gold,350,false,Black
Corsair TX550M Gold,996.55,ATX,gold,550,Semi,
"FSP Group Hydro Ti PRO,Gen 5",1126.54,ATX,titanium,1000,Full,Black
Super Flower Leadex Titanium,866.56,ATX,titanium,850,Full,Black
FSP Group Hydro G Pro,639.59,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,736.57,ATX,gold,1200,Full,Black
Silverstone Extreme 850R Platinum,909.89,SFX,,850,Full,Black
EVGA SuperNOVA 1600 G+,1371.96,ATX,gold,1600,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,368.26,ATX,gold,650,Full,Black
EVGA 1000 GQ,563.25,ATX,gold,1000,Semi,
Thermaltake Toughpower SFX,760.35,SFX,gold,1000,Full,Black
Vetroo GV1000,519.92,ATX,gold,1000,Full,Black
SeaSonic PRIME TX-850,1516.42,ATX,titanium,850,Full,Black
Thermaltake Toughpower GX3,389.93,ATX,gold,850,false,Black
Silverstone SX650-G,616.24,SFX,gold,650,Full,
FSP Group Hydro GE,346.55,ATX,gold,550,Full,
Asus TUF Gaming 1200G,884.28,ATX,gold,1200,Full,Black
GAMDIAS KRATOS P1 G,346.55,ATX,gold,750,false,Black
Silverstone SFX,413.28,SFX,bronze,450,false,Black
be quiet! System Power 9,494.79,ATX,bronze,600,false,Black
be quiet! Straight Power 11 850W,822.4,ATX,gold,850,Full,
be quiet! Pure Power 9 CM,880.64,ATX,bronze,600,Semi,Black
Corsair CX750M V2 (2017 Edition),757.02,ATX,bronze,750,Semi,Black / White
SeaSonic G12 GM,632.92,ATX,gold,650,Semi,Black / Blue
Thermaltake Toughpower GX1,290.83,ATX,gold,600,Semi,Black
SeaSonic PRIME PX-1600 ATX 3.0,2049.47,ATX,platinum,1600,Full,Black / Silver
Azza PSAZ-750W,303.27,ATX,bronze,750,false,Black
Gigabyte UD-GM PG5,599.99,ATX,gold,750,Full,Black
Antec CSK,440.84,ATX,bronze,750,Semi,Black / Yellow
SeaSonic PRIME Fanless,1442.41,ATX,titanium,700,Full,Black
Cougar POLAR,1022.54,ATX,platinum,1200,Full,White
Thermaltake Toughpower SFX,655.71,SFX,gold,850,Full,Black
Raidmax RX-530SS,216.61,ATX,,530,Semi,
EVGA 550 BP,346.55,ATX,bronze,550,false,Black
Super Flower LEADEX VII XG,883.89,ATX,gold,1300,Full,Black
